,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,1,2,3,a,b,exited
25,0.454,0.0945946,0.3,0.0,0.33333334,0,1,0.622543,1,0,0,0,1,0
26,0.812,0.24324325,0.2,0.54530364,0.0,1,1,0.850233,0,1,0,0,1,0
27,0.442,0.35135135,0.9,0.0,0.33333334,0,0,0.1921272,1,0,0,0,1,0
28,0.448,0.33783785,0.3,0.56337386,0.0,1,1,0.5009271,0,1,0,1,0,0
29,0.122,0.14864865,0.0,0.23793393,0.33333334,1,1,0.2673837,1,0,0,0,1,0
30,0.482,0.2837838,0.3,0.0,0.6666667,1,0,0.7023561,0,0,1,1,0,1
31,0.366,0.24324325,0.7,0.3400253,0.0,0,1,0.7836765,1,0,0,0,1,0
32,0.406,0.3108108,0.9,0.43887356,0.33333334,0,0,0.40947527,0,1,0,0,1,0
33,0.34,0.3243243,0.6,0.0,0.33333334,1,1,0.17201127,0,0,1,1,0,0
34,0.744,0.14864865,0.9,0.0,0.33333334,1,1,0.7101753,0,0,1,1,0,0
35,0.25,0.36486486,0.0,0.5351338,0.0,1,0,0.13907033,1,0,0,1,0,1
36,0.28,0.17567568,0.3,0.5789611,0.0,0,1,0.57033044,0,0,1,0,1,0
37,0.908,0.2027027,0.7,0.30509838,0.0,0,1,0.49225637,0,0,1,0,1,0
38,1.0,0.24324325,0.7,0.0,0.0,1,1,0.20402609,1,0,0,0,1,0
39,0.464,0.3108108,0.6,0.28039065,0.33333334,0,1,0.8903973,0,1,0,0,1,0
40,0.244,0.2972973,0.4,0.0,0.0,1,0,0.3507467,0,0,1,0,1,0
41,0.23,0.44594595,0.8,0.488335,0.0,0,0,0.9065169,1,0,0,1,0,1
42,0.412,0.5810811,0.2,0.46799618,0.0,1,1,0.4707562,1,0,0,1,0,0
43,0.968,0.4189189,0.2,0.52369696,0.0,0,0,0.9718637,1,0,0,1,0,1
44,0.62,0.5810811,0.5,0.6214918,0.0,1,1,0.79170966,0,0,1,1,0,0
45,0.852,0.1891892,0.4,0.43611783,0.33333334,1,1,0.6325898,0,1,0,1,0,0
46,0.958,0.12162162,0.9,0.4465784,0.0,1,1,0.5985403,0,1,0,1,0,1
47,0.574,0.2837838,0.9,0.5494016,0.0,1,1,0.58811224,0,1,0,1,0,1
48,0.4,0.27027026,0.2,0.41208518,0.0,0,1,0.45437613,0,1,0,0,1,0
49,0.852,0.25675675,0.2,0.41359112,0.33333334,1,0,0.9705304,0,1,0,1,0,0
50,0.696,0.35135135,1.0,0.46378738,0.33333334,1,0,0.9903325,0,1,0,0,1,0
51,0.47,0.24324325,0.5,0.5821127,0.33333334,0,0,0.43210623,0,1,0,0,1,0
52,0.876,0.2027027,0.5,0.0,0.33333334,0,0,0.58488894,1,0,0,1,0,0
53,0.61,0.3108108,0.8,0.5004501,0.0,0,0,0.8202251,0,1,0,0,1,1
54,0.502,0.3243243,0.1,0.3925726,0.0,1,0,0.200035,0,1,0,0,1,1
55,0.538,0.33783785,0.1,0.4990549,0.0,1,1,0.5670487,1,0,0,0,1,0
56,0.612,0.36486486,0.5,0.50962687,0.0,1,0,0.43552154,1,0,0,0,1,0
57,0.75,0.013513514,0.0,0.30246624,0.0,0,0,0.22803263,0,1,0,0,1,0
58,0.322,0.6486486,0.4,0.0,0.0,1,0,0.0081584295,0,0,1,1,0,1
59,0.528,0.44594595,0.4,0.16216114,0.0,1,1,0.23384084,1,0,0,0,1,0
60,0.784,0.22972973,0.5,0.5454685,0.0,0,0,0.4225303,0,1,0,0,1,0
61,0.674,0.12162162,0.9,0.60713446,0.33333334,0,0,0.6324766,0,1,0,1,0,0
62,0.41,0.2027027,0.1,0.22353575,0.33333334,0,0,0.8940181,0,0,1,0,1,0
63,0.668,0.5135135,0.8,0.31370172,0.0,1,1,0.49698135,0,0,1,0,1,0
64,0.506,0.10810811,0.4,0.43510243,0.0,1,1,0.46418977,0,1,0,0,1,0
65,0.802,0.24324325,0.6,0.6768942,0.33333334,1,1,0.13874716,0,1,0,1,0,0
66,0.462,0.21621622,0.1,0.40507698,0.0,1,0,0.5521524,0,1,0,1,0,0
67,0.77,0.33783785,1.0,0.49095634,0.33333334,1,1,0.98340243,0,1,0,0,1,0
68,0.622,0.22972973,0.5,0.600744,0.33333334,0,1,0.56828064,0,1,0,1,0,0
69,0.65,0.04054054,0.8,0.39208454,0.0,1,0,0.090965785,1,0,0,1,0,0
70,0.776,0.5405405,0.2,0.5330668,1.0,1,0,0.14182495,0,1,0,0,1,1
71,0.926,0.14864865,0.6,0.0,0.0,1,0,0.16972765,1,0,0,0,1,0
72,0.614,0.25675675,0.0,0.6520862,0.0,0,1,0.22098096,0,0,1,1,0,0
73,0.508,0.0945946,0.5,0.6288642,0.33333334,1,1,0.29210404,0,1,0,1,0,0
74,0.338,0.24324325,0.9,0.0,0.33333334,0,1,0.7278236,1,0,0,0,1,0
75,0.77,0.04054054,0.1,0.7123139,0.33333334,1,0,0.11189278,1,0,0,1,0,0
76,0.628,0.5,0.8,0.0,0.33333334,1,1,0.69581676,1,0,0,0,1,0
77,0.656,0.1891892,0.9,0.0,0.0,1,1,0.7410661,1,0,0,1,0,0
78,0.814,0.2027027,0.5,0.30790678,0.0,0,1,0.971233,0,0,1,0,1,0
79,0.132,0.3108108,1.0,0.48700914,0.33333334,1,0,0.4914971,0,1,0,1,0,0
80,0.63,0.21621622,0.1,0.38519838,0.33333334,0,0,0.85709226,1,0,0,1,0,0
81,0.854,0.1891892,0.2,0.0,0.0,1,0,0.6822982,1,0,0,1,0,1
82,0.386,0.24324325,0.3,0.0,0.33333334,0,0,0.13005248,1,0,0,1,0,0
83,0.312,0.21621622,0.4,0.35993746,0.0,1,1,0.7961946,1,0,0,1,0,0
84,0.286,0.3783784,0.4,0.0,0.33333334,1,0,0.009481305,1,0,0,1,0,0
85,0.604,0.7702703,1.0,0.0,0.33333334,1,1,0.5733756,0,0,1,1,0,0
86,0.8,0.054054055,0.3,0.48498505,0.0,1,0,0.6432203,0,0,1,0,1,1
87,0.758,0.16216215,0.9,0.0,0.33333334,1,0,0.7593614,1,0,0,0,1,0
88,0.592,0.3783784,0.4,0.0,0.6666667,1,0,0.4662437,1,0,0,1,0,1
89,0.57,0.13513513,0.3,0.325326,0.33333334,1,1,0.78397375,0,1,0,1,0,0
90,0.594,0.35135135,0.5,0.0,0.6666667,1,1,0.8710514,0,0,1,1,0,1
91,0.916,0.36486486,0.7,0.4728077,0.33333334,1,0,0.7356747,1,0,0,0,1,0
92,0.348,0.24324325,1.0,0.0,0.33333334,1,0,0.5480673,1,0,0,1,0,0
93,0.838,0.14864865,0.8,0.0,0.33333334,1,1,0.86147743,1,0,0,0,1,0
94,0.76,0.3243243,0.4,0.0,0.33333334,0,1,0.4298955,0,0,1,0,1,0
95,0.33,0.22972973,1.0,0.7025719,0.0,0,1,0.6063889,0,0,1,0,1,0
96,0.846,0.3108108,0.9,0.40983748,0.0,0,1,0.3229492,0,0,1,0,1,0
97,0.928,0.14864865,0.8,0.38695553,0.33333334,1,1,0.98641694,0,1,0,0,1,0
98,0.72,0.054054055,0.8,0.0,0.33333334,0,0,0.49821487,0,0,1,0,1,0
99,0.126,0.21621622,0.9,0.0,0.33333334,0,0,0.032616116,1,0,0,0,1,0
100,0.63,0.2972973,0.6,0.0,0.0,1,1,0.80925953,1,0,0,1,0,0
101,0.546,0.35135135,0.6,0.0,0.33333334,0,0,0.8358341,1,0,0,1,0,0
102,0.776,0.17567568,0.9,0.32951286,0.0,1,0,0.20981574,1,0,0,0,1,0
103,0.356,0.24324325,0.7,0.0,0.33333334,1,0,0.3026538,0,0,1,0,1,0
104,0.64,0.6351351,0.1,0.0,0.0,1,1,0.8883053,0,0,1,1,0,1
105,0.544,0.3783784,0.4,0.42676002,0.33333334,1,1,0.15487984,0,0,1,1,0,1
106,0.464,0.1891892,0.1,0.35448107,0.0,1,1,0.050219547,0,1,0,0,1,0
107,0.87,0.24324325,0.2,0.39779836,0.0,0,1,0.18484235,0,1,0,1,0,0
108,0.51,0.2027027,0.5,0.5982222,0.0,0,0,0.35929036,0,0,1,0,1,0
109,0.258,0.22972973,0.9,0.37000635,0.0,1,0,0.49723887,0,1,0,0,1,1
110,0.67,0.16216215,0.3,0.36085093,0.0,0,1,0.31538662,0,1,0,0,1,0
111,0.376,0.2837838,0.7,0.43067327,0.33333334,1,0,0.1361114,0,1,0,0,1,0
112,0.424,0.3243243,0.2,0.3995182,0.0,0,0,0.4339706,1,0,0,0,1,0
113,0.65,0.24324325,0.9,0.42324176,0.0,0,1,0.11492468,0,0,1,0,1,0
114,0.742,0.13513513,0.9,0.61569035,0.33333334,0,1,0.5064952,0,1,0,0,1,1
115,0.556,0.16216215,0.9,0.52751017,0.33333334,1,1,0.37082317,0,1,0,1,0,0
116,0.636,0.25675675,0.6,0.6690541,0.0,1,0,0.5781888,0,1,0,1,0,0
117,0.312,0.3108108,0.1,0.0,0.33333334,1,0,0.15878877,1,0,0,1,0,0
118,0.348,0.17567568,0.8,0.42973077,0.0,1,0,0.99866444,0,1,0,1,0,1
119,0.698,0.21621622,0.4,0.7380439,0.33333334,1,0,0.60417217,0,1,0,0,1,0
120,0.956,0.21621622,0.8,0.5158801,0.33333334,0,0,0.19061916,1,0,0,0,1,0
121,0.648,0.2837838,0.6,0.47905275,0.0,0,0,0.5006447,0,0,1,0,1,0
122,0.612,0.2837838,0.6,0.0,0.33333334,1,0,0.70535886,1,0,0,1,0,0
123,0.668,0.4054054,1.0,0.5037281,0.0,1,1,0.9906835,0,1,0,1,0,0
124,0.55,0.13513513,0.3,0.0,0.0,0,0,0.9182618,1,0,0,1,0,0
125,0.164,0.3243243,0.9,0.6082288,0.0,1,0,0.55132097,1,0,0,0,1,1
126,0.398,0.45945945,0.1,0.0,0.0,0,1,0.043126468,1,0,0,1,0,1
127,0.55,0.5135135,0.0,0.5919026,0.0,1,0,0.23408486,0,1,0,0,1,1
128,0.956,0.3108108,0.7,0.0,0.33333334,1,0,0.8569178,1,0,0,1,0,0
129,0.84,0.08108108,0.9,0.40585032,0.0,1,0,0.8363037,1,0,0,0,1,0
130,0.816,0.21621622,0.3,0.0,0.33333334,1,1,0.6211322,1,0,0,1,0,0
131,0.89,0.2027027,0.9,0.52157605,0.0,1,1,0.57467306,0,1,0,1,0,0
132,0.674,0.27027026,0.9,0.48852852,0.0,1,1,0.1780035,1,0,0,0,1,0
133,0.672,0.0945946,0.1,0.0,0.33333334,0,1,0.0822468,1,0,0,0,1,0
134,0.878,0.2837838,0.7,0.49752656,0.33333334,1,1,0.6220569,0,1,0,0,1,0
135,0.478,0.43243244,0.5,0.5775056,0.33333334,1,1,0.17466493,0,1,0,1,0,0
136,0.222,0.21621622,0.5,0.25374418,0.0,0,1,0.8389436,0,1,0,1,0,0
137,0.574,0.2972973,0.2,0.5319415,0.0,0,1,0.46581328,1,0,0,0,1,0
138,0.468,0.4054054,0.2,0.84953296,0.0,1,0,0.37578425,0,0,1,1,0,1
139,0.458,0.22972973,0.1,0.5161074,0.33333334,0,1,0.042900346,0,0,1,1,0,1
140,0.812,0.35135135,1.0,0.5478403,0.0,1,0,0.9477521,0,1,0,0,1,0
141,0.626,0.21621622,0.7,0.0,0.33333334,1,1,0.90216446,1,0,0,0,1,0
142,0.664,0.33783785,0.5,0.50160575,0.0,1,1,0.96662605,1,0,0,1,0,0
143,0.886,0.45945945,0.2,0.0,0.0,1,0,0.7956372,0,0,1,0,1,1
144,0.682,0.17567568,0.5,0.16307637,0.0,1,0,0.63107157,1,0,0,1,0,1
145,0.27,0.04054054,0.5,0.4510087,0.0,1,1,0.27067545,0,0,1,1,0,0
146,0.57,0.14864865,0.8,0.5512076,0.33333334,1,0,0.705387,0,0,1,1,0,0
147,0.6,0.25675675,0.5,0.42633715,0.0,0,0,0.12242894,1,0,0,0,1,0
148,0.77,0.35135135,0.9,0.4809986,0.0,1,0,0.37415954,1,0,0,0,1,0
149,0.132,0.1891892,0.0,0.0,0.33333334,0,1,0.004336864,1,0,0,0,1,0
150,0.808,0.1891892,0.7,0.0,0.33333334,1,0,0.4475886,0,0,1,1,0,0
151,0.37,0.4054054,0.9,0.0,0.0,1,0,0.7494776,1,0,0,1,0,1
152,0.732,0.3243243,0.8,0.0,0.33333334,1,0,0.90403056,0,0,1,0,1,0
153,0.378,0.25675675,0.2,0.50861126,0.0,1,0,0.4932203,1,0,0,0,1,0
154,0.528,0.33783785,0.6,0.0,0.33333334,1,1,0.54520184,1,0,0,1,0,0
155,0.712,0.527027,0.7,0.0,0.0,1,0,0.089656465,0,0,1,0,1,1
156,0.816,0.2027027,0.7,0.0,0.33333334,0,0,0.41496408,1,0,0,1,0,0
157,0.472,0.13513513,0.2,0.0,0.33333334,1,1,0.4603228,0,0,1,1,0,0
158,0.592,0.7432432,0.6,0.38764444,0.0,0,1,0.5235904,1,0,0,1,0,0
159,0.562,0.2027027,0.4,0.49122214,0.0,0,0,0.56343377,0,1,0,1,0,0
160,0.734,0.054054055,0.6,0.40279403,0.0,0,1,0.42348033,0,0,1,1,0,0
161,0.668,0.16216215,0.2,0.0,0.33333334,1,0,0.41735107,1,0,0,0,1,0
162,0.9,0.4189189,0.7,0.43048298,0.0,0,0,0.23559014,1,0,0,1,0,0
163,0.742,0.24324325,0.2,0.0,0.33333334,1,1,0.5348822,0,0,1,1,0,0
164,0.666,0.14864865,0.0,0.5328972,0.0,1,0,0.27788132,0,0,1,0,1,1
165,0.62,0.17567568,0.9,0.49896654,0.33333334,1,1,0.69938105,0,1,0,0,1,0
166,0.708,0.08108108,0.7,0.45051846,0.0,1,0,0.8125371,0,1,0,1,0,1
167,0.53,0.3108108,0.9,0.43449208,0.0,1,0,0.9825357,0,0,1,1,0,0
168,0.634,0.2837838,0.2,0.0,0.33333334,1,0,0.20356774,0,0,1,1,0,1
169,0.664,0.08108108,0.9,0.2308898,0.33333334,0,0,0.26563898,0,1,0,0,1,0
170,0.268,0.14864865,0.4,0.51859456,0.0,1,0,0.82010984,1,0,0,1,0,0
171,0.556,0.12162162,0.5,0.38193393,0.33333334,1,0,0.7800014,0,1,0,0,1,0
172,0.26,0.35135135,1.0,0.51657856,0.0,1,0,0.027308207,0,1,0,0,1,1
173,0.456,0.16216215,0.4,0.675422,0.0,1,0,0.5609312,1,0,0,0,1,0
174,0.324,0.2972973,0.5,0.0,0.33333334,1,1,0.7323012,1,0,0,0,1,0
175,0.268,0.22972973,0.7,0.5335561,0.0,1,1,0.13638562,0,0,1,1,0,0
176,0.32,0.16216215,0.0,0.0,0.33333334,1,1,0.6527718,1,0,0,1,0,0
177,0.512,0.24324325,0.5,0.7591906,0.33333334,0,0,0.89678717,0,1,0,0,1,0
178,0.494,0.2972973,0.8,0.40651214,0.0,0,1,0.47385794,0,0,1,1,0,0
179,0.808,0.5,0.3,0.64412135,0.0,1,0,0.040350202,0,1,0,1,0,1
180,1.0,0.36486486,0.2,0.48749357,0.0,1,1,0.0973639,0,0,1,1,0,0
181,0.32,0.6351351,0.2,0.0,0.33333334,1,1,0.2403231,1,0,0,0,1,0
182,0.856,0.36486486,0.1,0.64628,0.33333334,1,0,0.8726818,0,1,0,1,0,0
183,0.572,0.3243243,0.2,0.0,0.33333334,1,1,0.27732247,1,0,0,0,1,0
184,0.908,0.43243244,0.4,0.0,0.0,1,1,0.042680524,1,0,0,1,0,1
185,0.328,0.1891892,0.8,0.0,0.33333334,1,0,0.47927377,1,0,0,0,1,0
186,0.76,0.2837838,0.1,0.39462504,0.0,1,0,0.97476417,1,0,0,1,0,0
187,0.35,0.25675675,0.0,0.0,0.0,0,1,0.6576135,0,0,1,1,0,0
188,0.532,0.16216215,0.5,0.0,0.33333334,0,1,0.9805783,0,0,1,0,1,0
189,0.674,0.21621622,0.7,0.44395787,0.33333334,1,0,0.74283683,0,1,0,1,0,0
190,0.73,0.3108108,0.8,0.22405452,0.33333334,0,0,0.46489954,1,0,0,1,0,1
191,0.324,0.24324325,0.3,0.33610368,0.33333334,1,0,0.08832733,1,0,0,1,0,0
192,0.258,0.2972973,0.1,0.0,0.33333334,0,0,0.5749792,1,0,0,0,1,0
193,0.502,0.1891892,0.8,0.3707198,0.0,1,0,0.43477073,1,0,0,0,1,0
194,0.46,0.14864865,0.9,0.2459582,0.33333334,1,0,0.64039224,0,0,1,0,1,0
195,0.914,0.22972973,0.3,0.69665796,0.0,1,1,0.0029441812,1,0,0,0,1,0
196,0.532,0.1891892,0.6,0.0,0.33333334,1,1,0.21496993,0,0,1,1,0,0
197,0.742,0.25675675,0.3,0.4293402,0.0,1,1,0.7929734,0,1,0,0,1,0
198,0.302,0.527027,1.0,0.0,0.33333334,1,1,0.23920089,1,0,0,0,1,0
199,0.342,0.22972973,0.6,0.38431478,0.0,1,0,0.0523893,1,0,0,0,1,0
200,1.0,0.16216215,0.2,0.56214064,0.0,1,1,0.029835949,0,0,1,0,1,0
201,0.818,0.3243243,0.4,0.42017132,0.0,0,1,0.60704535,1,0,0,0,1,0
202,0.332,0.43243244,0.5,0.0,0.0,0,1,0.73074156,0,0,1,0,1,1
203,0.722,0.27027026,0.2,0.5142409,0.33333334,1,1,0.07182326,1,0,0,1,0,1
204,0.324,0.2027027,0.3,0.70413697,0.0,1,0,0.47334117,0,0,1,0,1,0
205,0.4,0.25675675,0.3,0.0,0.0,1,1,0.89837945,1,0,0,0,1,0
206,0.516,0.3108108,0.3,0.35777012,0.0,0,0,0.996561,0,0,1,1,0,1
207,0.536,0.21621622,0.5,0.53788584,0.0,1,1,0.7597866,1,0,0,0,1,0
208,0.586,0.36486486,0.5,0.0,0.0,1,0,0.71257764,1,0,0,0,1,1
209,0.642,0.36486486,0.2,0.4239843,0.0,0,1,0.79134077,1,0,0,0,1,0
210,0.678,0.2027027,0.2,0.6449417,0.33333334,1,0,0.8469325,0,1,0,0,1,0
211,0.506,0.17567568,0.8,0.0,0.33333334,1,1,0.84959835,1,0,0,0,1,0
212,0.54,0.3108108,0.9,0.0,0.33333334,0,0,0.4442469,1,0,0,1,0,0
213,0.652,0.21621622,0.1,0.25147665,0.0,1,1,0.20319055,1,0,0,1,0,0
214,0.444,0.10810811,0.4,0.4714544,0.33333334,0,0,0.30210745,0,1,0,0,1,0
215,0.636,0.3918919,0.7,0.4258869,0.0,0,1,0.7898126,0,1,0,0,1,1
216,0.69,0.3783784,0.7,0.19734128,0.0,1,0,0.66504234,1,0,0,0,1,0
217,0.76,0.2027027,0.9,0.0,0.33333334,0,0,0.88290954,0,0,1,1,0,0
218,0.914,0.33783785,0.1,0.42168245,0.33333334,1,0,0.17439896,1,0,0,0,1,1
219,0.484,0.4864865,0.8,0.0,0.0,1,1,0.14364436,1,0,0,0,1,1
220,0.752,0.17567568,0.9,0.45724562,0.33333334,1,1,0.49088183,1,0,0,1,0,0
221,0.328,0.16216215,0.7,0.0,0.0,0,1,0.625053,0,0,1,0,1,0
222,0.434,0.3243243,0.2,0.0,0.33333334,1,1,0.8399454,1,0,0,0,1,0
223,1.0,0.2027027,1.0,0.0,0.0,1,0,0.024253016,1,0,0,0,1,1
224,0.642,0.36486486,0.6,0.39683133,0.0,1,1,0.54435635,0,1,0,0,1,1
225,0.64,0.25675675,0.4,0.6797896,0.33333334,1,0,0.9913012,1,0,0,0,1,0
226,0.688,0.16216215,0.9,0.0,0.33333334,1,1,0.13475652,1,0,0,1,0,0
227,0.394,0.2837838,0.6,0.29731652,0.6666667,1,1,0.42871565,0,1,0,1,0,1
228,0.802,0.43243244,0.2,0.3861663,0.0,1,0,0.3860102,0,1,0,0,1,1
229,0.488,0.14864865,0.3,0.52144766,0.0,1,0,0.3052139,0,1,0,1,0,0
230,0.646,0.7297297,0.1,0.0,0.33333334,0,1,0.55990154,1,0,0,0,1,0
231,0.52,0.2972973,0.0,0.0,0.33333334,1,0,0.31113482,1,0,0,0,1,0
232,0.324,0.25675675,0.1,0.0,0.33333334,0,1,0.7805418,1,0,0,1,0,0
233,0.834,0.027027028,0.3,0.47714293,0.33333334,0,1,0.7506907,0,1,0,0,1,0
234,0.47,0.6621622,0.5,0.45428392,0.33333334,0,1,0.46571714,1,0,0,1,0,0
235,0.826,0.3243243,0.6,0.3992089,0.0,1,0,0.16727278,0,1,0,0,1,1
236,0.724,0.14864865,0.2,0.0,0.0,1,1,0.72188604,1,0,0,1,0,0
237,0.378,0.33783785,0.3,0.46321794,0.6666667,1,0,0.27898854,0,1,0,1,0,1
238,0.636,0.3783784,0.2,0.0,0.6666667,1,0,0.4452269,1,0,0,1,0,1
239,0.706,0.13513513,0.2,0.32353306,0.33333334,0,1,0.81408066,1,0,0,0,1,0
240,0.624,0.27027026,0.4,0.0,0.33333334,1,0,0.6813054,0,0,1,0,1,0
241,0.75,0.2837838,0.5,0.4655428,0.0,1,0,0.6202662,0,1,0,1,0,0
242,0.706,0.25675675,0.8,0.42232957,0.33333334,0,1,0.3707715,1,0,0,0,1,0
243,0.618,0.6621622,0.6,0.4679653,0.0,1,1,0.22531907,0,1,0,0,1,1
244,0.346,0.21621622,0.7,0.0,0.33333334,1,0,0.310122,0,0,1,0,1,0
245,0.57,0.2972973,1.0,0.49222207,0.0,1,0,0.65977126,1,0,0,1,0,1
246,0.844,0.10810811,0.7,0.60741997,0.33333334,1,0,0.39705002,0,1,0,0,1,0
247,0.39,0.10810811,0.1,0.0,0.33333334,1,1,0.9982302,1,0,0,1,0,0
248,0.568,0.08108108,0.8,0.41091526,0.0,1,1,0.7879038,0,1,0,0,1,0
249,0.778,0.4864865,0.8,0.5038625,0.0,1,0,0.67211,0,1,0,0,1,1
250,0.842,0.24324325,0.5,0.310273,0.0,0,0,0.4990197,0,1,0,1,0,0
251,0.474,0.21621622,0.1,0.0,0.33333334,1,1,0.48965228,0,0,1,1,0,0
252,0.662,0.8243243,0.0,0.0,0.33333334,0,1,0.8548687,1,0,0,1,0,0
253,0.388,0.25675675,0.2,0.31778604,0.0,1,1,0.28776434,0,1,0,0,1,0
254,0.692,0.13513513,0.8,0.0,0.0,0,0,0.88359386,0,0,1,0,1,0
255,0.832,0.3108108,0.0,0.0,0.33333334,0,1,0.17137462,0,0,1,0,1,0
256,0.754,0.21621622,1.0,0.0,0.33333334,1,1,0.99322367,1,0,0,0,1,0
257,0.642,0.21621622,0.6,0.14853309,0.33333334,0,0,0.78460264,0,1,0,1,0,0
258,0.686,0.16216215,0.6,0.5101364,0.0,1,1,0.2522522,1,0,0,1,0,0
259,1.0,0.27027026,0.3,0.21881796,0.0,1,1,0.70038676,0,1,0,0,1,0
260,0.764,0.3243243,0.9,0.43343526,0.33333334,1,1,0.32658884,0,1,0,0,1,0
261,0.752,0.4054054,0.6,0.3981943,0.0,1,0,0.32158902,0,0,1,1,0,0
262,0.414,0.1891892,0.6,0.73610127,0.33333334,1,0,0.07473144,1,0,0,1,0,0
263,0.664,0.10810811,0.0,0.44103172,0.0,0,1,0.55939156,1,0,0,1,0,0
264,0.776,0.17567568,0.9,0.31494778,0.0,1,1,0.09298213,0,0,1,0,1,0
265,0.362,0.24324325,0.9,0.3955411,0.0,1,0,0.61568594,0,0,1,1,0,0
266,0.296,0.21621622,0.2,0.0,0.33333334,1,1,0.7426542,1,0,0,0,1,0
267,0.602,0.24324325,0.7,0.0,0.33333334,1,0,0.06944028,1,0,0,0,1,0
268,0.398,0.2837838,0.7,0.0,0.0,0,0,0.40627715,0,0,1,1,0,1
269,0.882,0.22972973,0.7,0.20899402,0.0,1,0,0.80527776,0,1,0,1,0,0
270,0.6,0.3108108,0.9,0.0,0.33333334,0,1,0.95803195,0,0,1,0,1,0
271,0.766,0.21621622,0.3,0.3999152,0.6666667,1,0,0.24276124,0,1,0,0,1,1
272,0.922,0.21621622,0.1,0.5950511,0.33333334,1,1,0.9317298,0,1,0,1,0,0
273,0.714,0.16216215,0.8,0.0,0.33333334,1,0,0.16575478,1,0,0,0,1,0
274,0.724,0.13513513,0.4,0.580337,0.0,0,1,0.46940458,0,1,0,0,1,0
275,0.712,0.25675675,0.7,0.0,0.33333334,1,1,0.5544916,0,0,1,1,0,0
276,0.812,0.5945946,0.3,0.0,0.0,1,1,0.055942643,1,0,0,0,1,1
277,0.854,0.47297296,1.0,0.0,0.33333334,1,0,0.94999766,1,0,0,1,0,0
278,0.592,0.22972973,0.6,0.33490434,0.0,0,1,0.82129896,1,0,0,0,1,0
279,0.728,0.3783784,0.1,0.0,0.0,1,0,0.7608537,1,0,0,0,1,1
280,0.864,0.2837838,0.8,0.0,0.33333334,1,1,0.16970666,1,0,0,0,1,0
281,0.85,0.14864865,1.0,0.0,0.33333334,1,1,0.34069428,0,0,1,0,1,0
282,0.258,0.22972973,0.4,0.5528895,0.0,1,1,0.23622361,0,1,0,0,1,1
283,0.914,0.3243243,0.7,0.4714054,0.0,1,1,0.12938306,1,0,0,0,1,0
284,0.898,0.054054055,0.8,0.6942499,0.33333334,0,1,0.9632033,1,0,0,1,0,0
285,0.65,0.2972973,0.7,0.45121452,0.33333334,1,0,0.17284541,1,0,0,0,1,0
286,0.504,0.14864865,0.5,0.4141414,0.0,1,0,0.8061683,0,0,1,0,1,0
287,0.25,0.1891892,0.8,0.47438896,0.0,1,0,0.5040717,1,0,0,1,0,0
